Maladie,Modele,R2,MAE,RMSE,MAPE
COQUELUCHE,Linear Regression,0.6106844578353878,0.4831431262845755,0.5797552863123344,19.40924687729049
COQUELUCHE,Ridge Regression,0.6057701513699244,0.4849702053351442,0.5834029193478599,19.527214129563504
COQUELUCHE,Random Forest,0.7680949538941757,0.3028250163557969,0.4474545676227531,11.604143192911234
COQUELUCHE,Gradient Boosting,0.7808829512873031,0.248905451792421,0.4349425849639377,10.247111511517474
COQUELUCHE,KNN,0.2619661032891677,0.7152591606299061,0.7982372689676873,24.36342210320808
COQUELUCHE,SVR,0.7937097689069388,0.371011731934634,0.4220201403245021,13.350987995386216
COVID-19,Linear Regression,0.5969050167108871,0.9119960042530652,1.2664884629869984,29.88873533895425
COVID-19,Ridge Regression,0.5962755918188007,0.91540825909612,1.26747687570947,29.94251535531537
COVID-19,Random Forest,0.9802042190643684,0.2226417955665298,0.2806621585134343,5.678428193709553
COVID-19,Gradient Boosting,0.9819588105702972,0.2055189466679593,0.2679354170622633,5.523821280051333
COVID-19,KNN,0.5023593270310616,0.8143902941852095,1.407198863592693,30.0091811364106
COVID-19,SVR,0.1948130839265207,1.258831661205829,1.7899705923525642,42.5330376405549
Choléra,Linear Regression,0.5077631783198723,1.1262574503257063,1.3721780807755224,24.94320777142065
Choléra,Ridge Regression,0.5187946659920031,1.1146812770838066,1.3567150574138294,24.806094479844127
Choléra,Random Forest,0.8132000213283883,0.6244226594929027,0.845301889619205,11.813394010304505
Choléra,Gradient Boosting,0.8946844488760857,0.4162275595803381,0.6347017285222964,7.187568926773337
Choléra,KNN,0.4277604577440282,1.165378060294645,1.479491113657757,23.17870437086708
Choléra,SVR,0.1864265394667804,1.3213651558923245,1.7640943751166307,24.767672613120183
DECES MATERNELS,Linear Regression,0.2724686945036062,0.9575433975191072,1.2884887216309528,28.894886400837567
DECES MATERNELS,Ridge Regression,0.2974444053941538,0.948113145880356,1.2661790599248564,28.737805311813226
DECES MATERNELS,Random Forest,0.5875635216459926,0.7146503720549762,0.9701375476186233,19.42598121559059
DECES MATERNELS,Gradient Boosting,0.6420494909497267,0.6509172471384651,0.9037873758966656,17.13901647587396
DECES MATERNELS,KNN,0.4955943861929913,0.865574657365091,1.0728641521103996,27.440078436615632
DECES MATERNELS,SVR,0.0492534233163342,1.1394070088080162,1.4729471477985223,33.4940922507025
Diarrhée aqueuse,Linear Regression,0.6857220850471661,0.7882813756443796,1.1699715460439148,15.244894077151312
Diarrhée aqueuse,Ridge Regression,0.6874826338598412,0.7841437127571298,1.166689920600387,15.196484413178462
Diarrhée aqueuse,Random Forest,0.8813753831116413,0.4859579915570829,0.7187962116932441,9.26807051947217
Diarrhée aqueuse,Gradient Boosting,0.9360357498600936,0.3734866863943761,0.5278214368776363,6.634436962653324
Diarrhée aqueuse,KNN,0.60734530768082,0.8034498265785393,1.3077470951382395,14.919949886126393
Diarrhée aqueuse,SVR,0.670136748966367,0.8138839583958019,1.1986305308574874,15.665546041424037
Diarrhée sanglante,Linear Regression,0.8723189149688054,0.5524853129176971,0.7406557171277787,14.493988779084752
Diarrhée sanglante,Ridge Regression,0.8716626190147476,0.5552217825598887,0.7425568065152277,14.547496418159028
Diarrhée sanglante,Random Forest,0.9711836614923308,0.2482551020022281,0.3518621044054922,6.42916167476066
