MALADIE,n_rows
IRA,21622
PALUDISME SUSP,20234
PALUDISME CONF,18990
FIEVRE TYPHOIDE,17610
GRIPPE,16413
DIARRHEE DHY M5,15743
PNEUMONIE,11713
ROUGEOLE,7249
DRACUNCULOSE,6235
DIARR SANGLANTE,3115
MENINGITE,2603
PFA,2115
COVID-19,1966
DECES MATERNELS,1604
CHOLERA,1298
MONKEYPOX,1099
FIEVRE JAUNE,727
MAPI LEGERES,636
COQUELUCHE,578
TNN,533
RAGE,158
PESTE,102
TETANOS MATERNE,95
FHA,89
CHIKUNGUNYA,87
DIPHTERIE,75
MAPI GRAVES,54
DIARRHEE,1
