Maladie,n_rows
Infection respiratoire aiguë,171
Paludisme (confirmé),169
Grippe,168
Fièvre typhoïde,166
Rougeole,164
Paludisme (suspect),163
Diarrhée aqueuse,157
Méningite,156
PNEUMONIE,148
Diarrhée sanglante,145
DECES MATERNELS,131
PFA,128
FIEVRE JAUNE,100
Choléra,95
Monkeypox,91
TNN,85
COQUELUCHE,76
COVID-19,76
MAPI LEGERES,73
RAGE,51
TETANOS MATERNE,41
PESTE,40
FHA,31
MAPI GRAVES,29
DIARRHEE,1
