feature,Total_cas,Total_deces,Taux_letalite_pct,Mois
Total_cas,1.0,0.3262459931893772,-0.06904342689498708,-0.008104514935501059
Total_deces,0.3262459931893772,1.0,-3.9064381960342835e-05,-0.09928673077646367
Taux_letalite_pct,-0.06904342689498708,-3.9064381960342835e-05,1.0,-0.03361017864580518
Mois,-0.008104514935501059,-0.09928673077646367,-0.03361017864580518,1.0
