Semaine,Date_debut,Mois,Trimestre,Maladie,Total_cas,Total_deces,Taux_letalite_pct
2023-S04,2023-01-23,1,Q1,TNN,8.0,4.0,50.0
2023-S04,2023-01-24,1,Q1,TNN,1.0,1.0,100.0
2023-S04,2023-01-29,1,Q1,TNN,7.5,0.0,0.0
2023-S05,2023-01-30,1,Q1,TNN,14.0,10.0,71.43
2023-S05,2023-02-01,2,Q1,TNN,7.0,3.0,42.86
2023-S07,2023-02-13,2,Q1,TNN,11.0,6.4,58.18
2023-S07,2023-02-16,2,Q1,TNN,1.0,1.0,100.0
2023-S08,2023-02-20,2,Q1,TNN,37.25,4.9,13.15
2023-S22,2023-06-02,6,Q2,TNN,8.0,5.0,62.5
2023-S35,2023-09-01,9,Q3,TNN,4.0,1.0,25.0
